#  Pennsylvania February-April Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
189504,31.7
189604,35.1
189704,37.2
189804,37.4
189904,34.2
190004,33.4
190104,33
190204,35.3
190304,39.7
190404,31.9
190504,33.7
190604,34
190704,33.6
190804,36
190904,37.4
191004,38.9
191104,35.2
191204,33.6
191304,37.9
191404,31.8
191504,37.5
191604,32.3
191704,34.9
191804,37
191904,38.2
192004,34.5
192104,42.9
192204,38.3
192304,34.1
192404,33.9
192504,40
192604,32.8
192704,38.7
192804,34.8
192904,38.2
193004,37.7
193104,36.3
193204,36
193304,36.9
193404,31.3
193504,36.8
193604,33.7
193704,35
193804,40.1
193904,36.6
194004,32.8
194104,34.9
194204,37.2
194304,34.4
194404,34.6
194504,41.4
194604,39.6
194704,33.2
194804,37.8
194904,38.7
195004,33.6
195104,37.2
195204,38
195304,38.4
195404,39.9
195504,38.7
195604,35.7
195704,38.9
195804,34.1
195904,36.6
196004,34.8
196104,36.1
196204,35.4
196304,34.4
196404,35.5
196504,34.2
196604,35.9
196704,35
196804,36.8
196904,36.2
197004,34.8
197104,34.7
197204,33.6
197304,38.6
197404,37.2
197504,34.7
197604,41.2
197704,39
197804,31.6
197904,34
198004,34.6
198104,38.2
198204,35.3
198304,37.9
198404,36.5
198504,38.9
198604,38
198704,38.2
198804,36.8
198904,36.1
199004,41
199104,40.6
199204,37.4
199304,34.6
199404,36.1
199504,36.2
199604,35.3
199704,38.4
199804,41.6
199904,38.1
200004,40.6
200104,38
200204,40.7
200304,36.3
200404,38.3
200504,37.4
200604,39.1
200704,34.1
200804,38.2
200904,39
201004,40.1
201104,38.2
201204,43.2
201304,36.6
201404,33.6
201504,32
201604,40.3
201704,41.9
201804,36.8
201904,38.5
202004,40.3
202104,38.9
202204,38.7
202304,41.8
202404,42.7
